Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
715.00	0.10132	0.30738	3.2533	3036.1	3365.7	8.6647	1.6321	2.0963	650.37	6.2451	26.180	0.059557	vapor
725.00	0.10132	0.30312	3.2990	3052.4	3386.7	8.6938	1.6386	2.1028	654.62	5.9977	26.591	0.060749	vapor
735.00	0.10132	0.29898	3.3447	3068.9	3407.8	8.7227	1.6453	2.1093	658.84	5.7640	27.002	0.061948	vapor
745.00	0.10132	0.29496	3.3903	3085.4	3428.9	8.7512	1.6519	2.1158	663.03	5.5429	27.412	0.063155	vapor
755.00	0.10132	0.29104	3.4360	3101.9	3450.1	8.7795	1.6586	2.1224	667.18	5.3336	27.822	0.064368	vapor
765.00	0.10132	0.28722	3.4817	3118.6	3471.3	8.8075	1.6654	2.1291	671.30	5.1352	28.231	0.065588	vapor
775.00	0.10132	0.28350	3.5273	3135.3	3492.7	8.8352	1.6721	2.1357	675.39	4.9470	28.639	0.066814	vapor
785.00	0.10132	0.27988	3.5730	3152.0	3514.1	8.8626	1.6789	2.1424	679.44	4.7683	29.047	0.068047	vapor
795.00	0.10132	0.27635	3.6186	3168.9	3535.5	8.8897	1.6858	2.1492	683.47	4.5985	29.454	0.069287	vapor
805.00	0.10132	0.27291	3.6642	3185.8	3557.0	8.9167	1.6926	2.1560	687.46	4.4369	29.860	0.070532	vapor
815.00	0.10132	0.26955	3.7099	3202.7	3578.6	8.9433	1.6995	2.1628	691.43	4.2831	30.266	0.071784	vapor
825.00	0.10132	0.26628	3.7555	3219.8	3600.3	8.9697	1.7064	2.1696	695.36	4.1365	30.670	0.073041	vapor
835.00	0.10132	0.26308	3.8011	3236.9	3622.0	8.9959	1.7134	2.1765	699.27	3.9967	31.074	0.074304	vapor
845.00	0.10132	0.25996	3.8468	3254.1	3643.8	9.0219	1.7203	2.1834	703.15	3.8633	31.478	0.075573	vapor
855.00	0.10132	0.25691	3.8924	3271.3	3665.7	9.0476	1.7273	2.1903	707.00	3.7359	31.880	0.076848	vapor
865.00	0.10132	0.25394	3.9380	3288.6	3687.6	9.0731	1.7343	2.1972	710.83	3.6142	32.282	0.078127	vapor
875.00	0.10132	0.25103	3.9836	3306.0	3709.6	9.0984	1.7413	2.2042	714.63	3.4977	32.682	0.079413	vapor
885.00	0.10132	0.24819	4.0292	3323.5	3731.7	9.1235	1.7483	2.2112	718.41	3.3863	33.082	0.080703	vapor
895.00	0.10132	0.24541	4.0749	3341.0	3753.9	9.1484	1.7554	2.2182	722.16	3.2797	33.481	0.081998	vapor
905.00	0.10132	0.24269	4.1205	3358.6	3776.1	9.1731	1.7624	2.2252	725.89	3.1774	33.879	0.083298	vapor
915.00	0.10132	0.24003	4.1661	3376.2	3798.4	9.1975	1.7695	2.2322	729.59	3.0795	34.277	0.084603	vapor
925.00	0.10132	0.23744	4.2117	3394.0	3820.7	9.2218	1.7766	2.2392	733.27	2.9855	34.673	0.085913	vapor
935.00	0.10132	0.23489	4.2573	3411.8	3843.2	9.2460	1.7837	2.2463	736.92	2.8952	35.068	0.087228	vapor
945.00	0.10132	0.23240	4.3029	3429.7	3865.7	9.2699	1.7907	2.2533	740.56	2.8086	35.463	0.088547	vapor
955.00	0.10132	0.22997	4.3485	3447.6	3888.2	9.2937	1.7978	2.2604	744.17	2.7254	35.856	0.089870	vapor
965.00	0.10132	0.22758	4.3941	3465.6	3910.9	9.3172	1.8049	2.2674	747.76	2.6454	36.249	0.091198	vapor
975.00	0.10132	0.22524	4.4397	3483.7	3933.6	9.3406	1.8120	2.2745	751.33	2.5684	36.640	0.092530	vapor
985.00	0.10132	0.22295	4.4853	3501.9	3956.3	9.3639	1.8191	2.2815	754.88	2.4944	37.031	0.093866	vapor
995.00	0.10132	0.22071	4.5309	3520.1	3979.2	9.3870	1.8262	2.2886	758.41	2.4231	37.421	0.095206	vapor
1005.0	0.10132	0.21851	4.5764	3538.4	4002.1	9.4099	1.8333	2.2956	761.92	2.3545	37.809	0.096551	vapor
1015.0	0.10132	0.21635	4.6220	3556.8	4025.1	9.4327	1.8403	2.3027	765.41	2.2883	38.197	0.097899	vapor
1025.0	0.10132	0.21424	4.6676	3575.2	4048.2	9.4553	1.8474	2.3097	768.88	2.2246	38.584	0.099250	vapor
1035.0	0.10132	0.21217	4.7132	3593.7	4071.3	9.4777	1.8544	2.3167	772.33	2.1631	38.970	0.10061	vapor
1045.0	0.10132	0.21014	4.7588	3612.3	4094.5	9.5000	1.8615	2.3238	775.76	2.1038	39.355	0.10197	vapor
1055.0	0.10132	0.20814	4.8044	3631.0	4117.8	9.5222	1.8685	2.3308	779.17	2.0466	39.738	0.10333	vapor
1065.0	0.10132	0.20619	4.8500	3649.7	4141.1	9.5442	1.8755	2.3378	782.57	1.9913	40.121	0.10469	vapor
1075.0	0.10132	0.20427	4.8956	3668.5	4164.5	9.5661	1.8825	2.3447	785.95	1.9379	40.503	0.10606	vapor
1085.0	0.10132	0.20238	4.9411	3687.4	4188.0	9.5878	1.8895	2.3517	789.31	1.8864	40.884	0.10744	vapor
1095.0	0.10132	0.20053	4.9867	3706.3	4211.6	9.6095	1.8965	2.3587	792.66	1.8365	41.264	0.10881	vapor
1105.0	0.10132	0.19872	5.0323	3725.3	4235.2	9.6309	1.9034	2.3656	795.99	1.7883	41.643	0.11019	vapor
1115.0	0.10132	0.19693	5.0779	3744.4	4258.9	9.6523	1.9104	2.3725	799.30	1.7417	42.021	0.11157	vapor
1125.0	0.10132	0.19518	5.1235	3763.5	4282.6	9.6735	1.9173	2.3794	802.60	1.6966	42.397	0.11296	vapor
